city,socio_cluster,pop_growth_pct,note
חיפה,7,0.8,עיר גדולה עם שכונות זולות ליד מוקדי ביקוש
באר שבע,5,1.6,עיר סטודנטים + פיתוח דרום — ביקוש שכירות חזק
נתניה,6,1.9,צמיחה חזקה + קרבה לתל אביב
פתח תקווה,6,1.4,ביקוש יציב של משפחות
אשקלון,5,2.4,מהצומחות בישראל — הרבה בנייה חדשה
חדרה,5,2.1,מסדרון החוף — מחירים עדיין נמוכים יחסית
לוד,4,1.8,התחדשות עירונית משמעותית — סיכון וסיכוי
רמלה,4,1.5,זולה + קרובה למרכז
עפולה,5,2.6,צמיחה מהירה בעמק — מחירים נמוכים
קרית גת,5,2.8,מפעלי הייטק (אינטל) + בנייה מסיבית
טבריה,4,1.0,תיירות אך כלכלה חלשה — זהירות
בת ים,5,0.9,צמודה לתל אביב — פוטנציאל התחדשות עירונית
ראשון לציון,7,1.1,יקרה יותר — פחות מרווח לפליפ
ירושלים,3,1.5,שוק ענק אך מפוצל מאוד לפי שכונות
נהריה,6,1.3,צפון במגמת התאוששות
כרמיאל,6,1.2,איכות חיים בצפון במחירים נוחים
