date,city,neighborhood,address,rooms,sqm,floor,year_built,price
2026-03-09,חיפה,הדר,רחוב לדוגמה 32,2.5,55,3,1973,639000.0
2026-03-19,חיפה,הדר,רחוב לדוגמה 5,3,62,0,1970,691000.0
2025-11-20,חיפה,הדר,רחוב לדוגמה 4,3.5,75,8,1977,802000.0
2024-09-04,חיפה,הדר,רחוב לדוגמה 76,4.5,100,4,1965,922000.0
2026-01-19,חיפה,הדר,רחוב לדוגמה 20,4.5,100,3,2013,1025000.0
2025-07-22,חיפה,הדר,רחוב לדוגמה 13,3,62,5,1987,572000.0
2024-10-21,חיפה,הדר,רחוב לדוגמה 94,4,82,7,1999,907000.0
2026-02-24,חיפה,הדר,רחוב לדוגמה 38,4.5,100,5,2001,945000.0
2025-12-17,חיפה,הדר,רחוב לדוגמה 30,3,62,4,1970,574000.0
2025-11-05,חיפה,הדר,רחוב לדוגמה 59,3,62,5,1975,637000.0
2025-06-17,חיפה,הדר,רחוב לדוגמה 35,4,90,1,2003,859000.0
2024-09-19,חיפה,הדר,רחוב לדוגמה 32,3,70,2,1994,713000.0
2025-06-08,חיפה,הדר,רחוב לדוגמה 82,4,82,8,1979,982000.0
2024-07-30,חיפה,הדר,רחוב לדוגמה 8,4,90,3,1967,994000.0
2025-08-12,חיפה,הדר,רחוב לדוגמה 28,4.5,100,5,1978,980000.0
2024-08-29,חיפה,הדר,רחוב לדוגמה 83,5,115,7,1974,1120000.0
2025-10-03,חיפה,הדר,רחוב לדוגמה 72,3,70,8,1981,686000.0
2024-11-10,חיפה,הדר,רחוב לדוגמה 52,4.5,100,5,1979,1137000.0
2026-02-10,חיפה,הדר,רחוב לדוגמה 7,5,115,1,1974,1089000.0
2024-09-27,חיפה,הדר,רחוב לדוגמה 55,3,70,1,1989,769000.0
2025-06-06,חיפה,הדר,רחוב לדוגמה 71,5,115,0,2008,1211000.0
2026-03-06,חיפה,הדר,רחוב לדוגמה 44,4,82,1,1983,960000.0
2025-04-12,חיפה,הדר,רחוב לדוגמה 93,3,70,4,1997,715000.0
2025-12-31,חיפה,הדר,רחוב לדוגמה 39,3,62,8,2003,740000.0
2025-12-10,חיפה,הדר,רחוב לדוגמה 21,3,70,8,2014,721000.0
2025-01-04,חיפה,הדר,רחוב לדוגמה 63,2.5,55,0,1972,579000.0
2025-06-25,חיפה,הדר,רחוב לדוגמה 31,4,82,1,1970,791000.0
2025-02-19,חיפה,הדר,רחוב לדוגמה 69,3,62,2,1973,730000.0
2024-08-25,חיפה,הדר,רחוב לדוגמה 22,5,115,4,1998,1311000.0
2024-10-18,חיפה,הדר,רחוב לדוגמה 70,4.5,100,3,2010,1153000.0
2025-08-16,חיפה,הדר,רחוב לדוגמה 84,4.5,100,5,1993,1211000.0
2025-01-18,חיפה,הדר,רחוב לדוגמה 29,5,115,1,1986,1045000.0
2026-06-10,חיפה,הדר,רחוב לדוגמה 1,3.5,75,1,2010,845000.0
2024-09-23,חיפה,הדר,רחוב לדוגמה 5,2.5,55,5,1969,510000.0
2025-01-21,חיפה,הדר,רחוב לדוגמה 63,3.5,75,3,1999,718000.0
2026-02-16,חיפה,הדר,רחוב לדוגמה 61,5,115,6,1977,1147000.0
2026-03-27,חיפה,הדר,רחוב לדוגמה 46,3,62,6,1991,705000.0
2025-03-10,חיפה,הדר,רחוב לדוגמה 83,2.5,55,1,1968,597000.0
2025-05-15,חיפה,הדר,רחוב לדוגמה 14,4,90,3,1977,1021000.0
2025-12-19,חיפה,הדר,רחוב לדוגמה 24,5,115,4,1994,1100000.0
2025-10-19,חיפה,הדר,רחוב לדוגמה 71,3,62,1,1968,648000.0
2024-09-02,חיפה,הדר,רחוב לדוגמה 97,2.5,55,3,1975,631000.0
2025-05-11,חיפה,הדר,רחוב לדוגמה 52,5,115,0,1975,1190000.0
2025-06-08,חיפה,הדר,רחוב לדוגמה 34,2.5,55,7,1983,658000.0
2025-04-24,חיפה,הדר,רחוב לדוגמה 38,5,115,3,1968,1070000.0
2024-12-23,חיפה,נווה שאנן,רחוב לדוגמה 8,2.5,55,0,2002,796000.0
2025-02-28,חיפה,נווה שאנן,רחוב לדוגמה 66,3,70,1,1976,824000.0
2026-04-22,חיפה,נווה שאנן,רחוב לדוגמה 31,3,62,6,1972,937000.0
2024-11-25,חיפה,נווה שאנן,רחוב לדוגמה 6,3.5,75,1,1991,1030000.0
2024-08-27,חיפה,נווה שאנן,רחוב לדוגמה 27,4,90,5,1980,1348000.0
2025-10-03,חיפה,נווה שאנן,רחוב לדוגמה 83,4.5,100,4,1994,1244000.0
2025-08-12,חיפה,נווה שאנן,רחוב לדוגמה 80,3,62,1,1969,734000.0
2024-12-28,חיפה,נווה שאנן,רחוב לדוגמה 17,3.5,75,5,1969,1012000.0
2025-10-24,חיפה,נווה שאנן,רחוב לדוגמה 57,4,90,8,2010,1181000.0
2025-08-26,חיפה,נווה שאנן,רחוב לדוגמה 71,2.5,55,4,2007,804000.0
2026-03-17,חיפה,נווה שאנן,רחוב לדוגמה 14,3,70,8,1974,930000.0
2025-09-26,חיפה,נווה שאנן,רחוב לדוגמה 92,4,82,5,1978,1182000.0
2024-07-28,חיפה,נווה שאנן,רחוב לדוגמה 33,4,82,0,1970,1084000.0
2024-09-20,חיפה,נווה שאנן,רחוב לדוגמה 6,4.5,100,0,1986,1461000.0
2026-02-18,חיפה,נווה שאנן,רחוב לדוגמה 57,4,82,8,2010,1049000.0
2025-04-20,חיפה,נווה שאנן,רחוב לדוגמה 89,2.5,55,2,1999,665000.0
2026-05-26,חיפה,נווה שאנן,רחוב לדוגמה 19,4,90,6,1973,1331000.0
2026-05-20,חיפה,נווה שאנן,רחוב לדוגמה 6,4,82,5,1978,1134000.0
2024-08-02,חיפה,נווה שאנן,רחוב לדוגמה 46,3.5,75,8,1991,1040000.0
2024-10-04,חיפה,נווה שאנן,רחוב לדוגמה 31,3,70,2,1976,1051000.0
2025-05-05,חיפה,נווה שאנן,רחוב לדוגמה 43,2.5,55,6,2007,681000.0
2025-10-20,חיפה,נווה שאנן,רחוב לדוגמה 90,4,82,1,1989,1032000.0
2026-05-23,חיפה,נווה שאנן,רחוב לדוגמה 59,5,115,5,1984,1521000.0
2025-11-10,חיפה,נווה שאנן,רחוב לדוגמה 25,3.5,75,6,1986,904000.0
2025-09-19,חיפה,נווה שאנן,רחוב לדוגמה 36,3,62,5,2006,987000.0
2025-01-26,חיפה,נווה שאנן,רחוב לדוגמה 69,4.5,100,5,1966,1425000.0
2026-03-05,חיפה,נווה שאנן,רחוב לדוגמה 34,4,82,0,1971,1058000.0
2024-10-29,חיפה,נווה שאנן,רחוב לדוגמה 41,4.5,100,6,2003,1275000.0
2025-01-24,חיפה,נווה שאנן,רחוב לדוגמה 74,3,62,3,1981,809000.0
2026-05-17,חיפה,נווה שאנן,רחוב לדוגמה 69,4.5,100,3,1988,1226000.0
2025-04-16,חיפה,נווה שאנן,רחוב לדוגמה 43,3,62,5,2007,962000.0
2026-02-24,חיפה,נווה שאנן,רחוב לדוגמה 86,4,82,6,1985,1171000.0
2025-05-15,חיפה,נווה שאנן,רחוב לדוגמה 25,4,82,6,2007,1144000.0
2025-06-08,חיפה,נווה שאנן,רחוב לדוגמה 39,3,70,6,2000,997000.0
2026-07-01,חיפה,נווה שאנן,רחוב לדוגמה 56,4,82,5,1994,1113000.0
2025-04-05,חיפה,נווה שאנן,רחוב לדוגמה 66,5,115,7,2015,1652000.0
2026-01-09,חיפה,נווה שאנן,רחוב לדוגמה 85,3,62,5,1970,821000.0
2025-11-03,חיפה,נווה שאנן,רחוב לדוגמה 26,4,82,2,1966,1056000.0
